PLU,DESC,GROUP_ID,ROLE,TARGET_QTY
125338,ICHI OCHA GREEN TEA PET 350ML,1,BUY,1
403931,ULTRA SARI KACANG IJO TP 150ML,2,BUY,1
414351,KUN UHT CHOMALT TPK 100ML,3,BUY,1
990034,TEH GELAS PET 350ML,4,BUY,1
432448,FRUIT TEA APEL TP 250ML,5,BUY,1
432449,FRUIT TEA BLKCURRANT TP 250ML,6,BUY,1
125134,PUCUK HARUM TEH LS PET 350ML,7,BUY,1
